id,provinsi,penduduk,pdrb,pdrb_kapita,x,y
1,Aceh ,5243400,155911000000,29734.7141167944,96.9108868215936,4.22448016040708
2,Sumatera Utara ,14476000,741347000000,51212.14423874,99.0533115995294,2.19081121689582
3,Sumatera Barat ,5411800,230367000000,42567.5376030156,100.466721223022,-0.851751986431681
4,Riau ,6717600,752263000000,111983.893057044,101.80817323985,0.509879523489548
5,Jambi ,3527100,207879000000,58937.6541634771,102.72375185366,-1.69942378979217
6,Sumatera Selatan ,8391500,419392000000,49978.1922183162,104.170376902706,-3.21743327925683
7,Bengkulu ,1948600,66403000000,34077.2862567997,102.337147582128,-3.53307122184393
8,Lampung ,8377700,332446000000,39682.2516919918,105.022832620956,-4.91795523708545
9,Kepulauan Bangka Belitung ,1432100,73113000000,51052.9990922422,106.552741964002,-2.44845864447202
10,Kepulauan Riau ,2174800,248822000000,114411.440132426,105.403191066918,1.48112748084066
11,DKI Jakarta ,10428000,2592607000000,248619.773686229,106.834483609003,-6.20032855755365
12,Jawa Barat ,48475500,1960628000000,40445.7509463543,107.603031059104,-6.92019493694931
13,Jawa Tengah ,34358500,1268261000000,36912.5834946229,110.200739854836,-7.25938769413852
14,DI Yogyakarta ,3818300,129818000000,33998.9000340466,110.445379495717,-7.89502820409919
15,Jawa Timur ,39521900,2188766000000,55381.0925082043,112.733445371665,-7.72007037643315
16,Banten ,12530800,613804000000,48983.6243496026,106.109275725739,-6.45645523955421
17,Bali ,4309200,233637000000,54218.1843497633,115.132109875538,-8.3696769368758
18,Nusa Tenggara Barat ,5077700,123868000000,24394.5093250881,117.50745213657,-8.60666451506975
19,Nusa Tenggara Timur ,5360300,98930000000,18456.0565639983,122.180682955751,-9.26011246371674
20,Kalimantan Barat ,4985100,194138000000,38943.652083208,111.120964503698,-0.0866533851486366
21,Kalimantan Tengah ,2612600,138616000000,53056.7251014315,113.417665505542,-1.60231089407932
22,Kalimantan Selatan ,4162400,171684000000,41246.3963098213,115.439559515521,-2.99328661720958
23,Kalimantan Timur ,3573800,635499000000,177821.646426773,116.455976028422,0.459031329989224
24,Kalimantan Utara ,682800,85549000000,125291.446983011,116.240435596035,2.91178540183685
25,Sulawesi Utara ,2474400,119513000000,48299.789848044,124.523091022862,1.26205281854936
26,Sulawesi Tengah ,3001900,167136000000,55676.7380658916,121.202283274343,-1.0039117418198
27,Sulawesi Selatan ,8748100,461775000000,52785.7477623713,120.161137316188,-3.73229662934897
28,Sulawesi Tenggara ,2623600,118067000000,45001.9057783199,122.071914591936,-4.12610045658301
29,Gorontalo ,1166100,37731000000,32356.5731926936,122.376151247299,0.686847116093029
30,Sulawesi Barat ,1340100,43458000000,32428.9232146855,119.344007516868,-2.46170523544735
31,Maluku ,1749500,43047000000,24605.3158045156,129.837407105246,-4.72978697094348
32,Maluku Utara ,1218800,36469000000,29922.0544798162,127.539910012197,0.210393282519186
33,Papua Barat ,941400,79645000000,84602.7193541534,132.968260001682,-2.03777837927332
34,Papua ,3300200,210601000000,63814.6172959215,138.691107059114,-4.66287799410795
